Key,Category,String,File,Line(s),Notes,Type,Requires_Parameters
auth.loading,Loading,Loading...,app/index.tsx,26,Auth initialization,Loading Indicator,No
auth.login.title,Authentication,Welcome Back,app/auth/login.tsx,71,Main heading,Title,No
auth.login.subtitle,Authentication,Sign in to your MessageAI account,app/auth/login.tsx,73,Login description,Subtitle,No
auth.login.email.label,Authentication,Enter your email,app/auth/login.tsx,78,Email input placeholder,Placeholder,No
auth.login.password.label,Authentication,Enter your password,app/auth/login.tsx,91,Password input placeholder,Placeholder,No
auth.login.signingIn,Authentication,Signing In...,app/auth/login.tsx,106,Button text while processing,Button,No
auth.login.signIn,Authentication,Sign In,app/auth/login.tsx,106,Primary action button,Button,No
auth.login.error.title,Authentication,Error,app/auth/login.tsx,29,Validation error title,Alert Title,No
auth.login.error.emptyFields,Authentication,Please fill in all fields,app/auth/login.tsx,29,Empty field validation,Alert Message,No
auth.login.error.loginFailed,Authentication,Login Failed,app/auth/login.tsx,39,Login failure title,Alert Title,No
auth.login.error.generic,Authentication,An error occurred during login,app/auth/login.tsx,40,Generic error fallback,Alert Message,No
auth.login.error.devLoginFailed,Authentication,Dev Login Failed,app/auth/login.tsx,56,Dev mode login failure,Alert Title,No
auth.login.error.devGeneric,Authentication,An error occurred during dev login,app/auth/login.tsx,57,Dev mode error fallback,Alert Message,No
auth.login.noAccount,Authentication,Don't have an account?,app/auth/login.tsx,111,Sign up prompt text,Link Text,No
auth.login.signUp,Authentication,Sign Up,app/auth/login.tsx,114,Sign up link text,Link Text,No
auth.login.devMode.title,Authentication,Development Mode,app/auth/login.tsx,122,Dev mode section header,Section Title,No
auth.login.devMode.subtitle,Authentication,Quick login for testing,app/auth/login.tsx,123,Dev mode description,Section Subtitle,No
auth.login.devMode.tyler,Authentication,Login as Tyler,app/auth/login.tsx,135,Dev test account button,Button,No
auth.login.devMode.moblin,Authentication,Login as Moblin,app/auth/login.tsx,151,Dev test account button,Button,No
auth.login.devMode.daihorusu,Authentication,Login as Daihorusu,app/auth/login.tsx,165,Dev test account button,Button,No
auth.signup.title,Authentication,Create Account,app/auth/signup.tsx,61,Main heading,Title,No
auth.signup.subtitle,Authentication,Join MessageAI and start chatting,app/auth/signup.tsx,63,Signup description,Subtitle,No
auth.signup.displayName.label,Authentication,Display Name,app/auth/signup.tsx,66,Form label,Form Label,No
auth.signup.displayName.placeholder,Authentication,Enter your display name,app/auth/signup.tsx,69,Form field placeholder,Placeholder,No
auth.signup.email.label,Authentication,Email,app/auth/signup.tsx,78,Form label,Form Label,No
auth.signup.email.placeholder,Authentication,Enter your email,app/auth/signup.tsx,81,Form field placeholder,Placeholder,No
auth.signup.password.label,Authentication,Password,app/auth/signup.tsx,92,Form label,Form Label,No
auth.signup.password.placeholder,Authentication,Enter your password (min 6 characters),app/auth/signup.tsx,95,Form field placeholder with hint,Placeholder,No
auth.signup.confirmPassword.label,Authentication,Confirm Password,app/auth/signup.tsx,105,Form label,Form Label,No
auth.signup.confirmPassword.placeholder,Authentication,Confirm your password,app/auth/signup.tsx,108,Form field placeholder,Placeholder,No
auth.signup.error.emptyFields,Authentication,Please fill in all fields,app/auth/signup.tsx,26,Empty field validation,Alert Message,No
auth.signup.error.passwordMismatch,Authentication,Passwords do not match,app/auth/signup.tsx,31,Password mismatch error,Alert Message,No
auth.signup.error.passwordShort,Authentication,Password must be at least 6 characters,app/auth/signup.tsx,36,Password length validation,Alert Message,No
auth.signup.creatingAccount,Authentication,Creating Account...,app/auth/signup.tsx,123,Button text while processing,Button,No
auth.signup.create,Authentication,Create Account,app/auth/signup.tsx,123,Primary action button,Button,No
auth.signup.error.signupFailed,Authentication,Signup Failed,app/auth/signup.tsx,46,Signup failure title,Alert Title,No
auth.signup.error.generic,Authentication,An error occurred during signup,app/auth/signup.tsx,47,Generic signup error,Alert Message,No
auth.signup.haveAccount,Authentication,Already have an account?,app/auth/signup.tsx,128,Login prompt text,Link Text,No
auth.signup.signIn,Authentication,Sign In,app/auth/signup.tsx,131,Login link text,Link Text,No
nav.tabs.chats,Navigation,Chats,app/(tabs)/_layout.tsx,26,Chat list tab,Tab Title,No
nav.tabs.contacts,Navigation,Contacts,app/(tabs)/_layout.tsx,39,Contacts tab,Tab Title,No
nav.tabs.settings,Navigation,Settings,app/(tabs)/_layout.tsx,52,Settings tab,Tab Title,No
chats.loading,Loading,Loading conversations...,app/(tabs)/index.tsx,538,Initial load indicator,Loading Text,No
chats.header.title,Chats,MessageAI,app/(tabs)/index.tsx,547,App name in header,Header Title,No
chats.empty.title,Chats,No conversations yet,app/(tabs)/index.tsx,592,Empty state when no chats,Empty State Title,No
chats.empty.subtitle,Chats,Use the "+" button to start new conversations,app/(tabs)/index.tsx,593,Empty state instruction,Empty State Subtitle,No
chats.empty.noMessages,Chats,No messages yet,app/(tabs)/index.tsx,382,Empty conversation message,Subtitle,No
chats.group.default,Chats,Group Chat,app/(tabs)/index.tsx,341,Default group title,Default,No
chats.image.label,Chats,📷 Photo,app/(tabs)/index.tsx,370,Image message indicator,Message Label,No
chats.status.online,Chats,Online,app/(tabs)/index.tsx,394,User online status,Status,No
chats.status.lastSeen,Chats,Last seen {time},app/(tabs)/index.tsx,396,User last seen,Status,Yes
chats.unknown,Chats,Unknown,app/(tabs)/index.tsx,337,Unknown user fallback,Fallback,No
chats.unknownUser,Chats,Unknown User,app/(tabs)/index.tsx,359,Unknown user fallback,Fallback,No
chats.queue.label,Chats,{count} message{plural} queued,app/(tabs)/index.tsx,560,Offline queue indicator,Status,Yes
chats.features.camera,Chats,Camera feature coming soon!,app/(tabs)/index.tsx,570,Coming soon feature,Alert,No
settings.header.title,Settings,Settings,app/(tabs)/settings.tsx,256,Settings page title,Header Title,No
settings.search.feature,Settings,Search feature coming soon!,app/(tabs)/settings.tsx,260,Coming soon feature,Alert,No
settings.account.title,Settings,Account,app/(tabs)/settings.tsx,198,Account settings section,Item Title,No
settings.account.subtitle,Settings,Security notifications change number,app/(tabs)/settings.tsx,199,Account description,Item Subtitle,No
settings.account.feature,Settings,Account settings coming soon!,app/(tabs)/settings.tsx,201,Coming soon feature,Alert,No
settings.privacy.title,Settings,Privacy,app/(tabs)/settings.tsx,205,Privacy settings section,Item Title,No
settings.privacy.subtitle,Settings,Block contacts disappearing messages,app/(tabs)/settings.tsx,206,Privacy description,Item Subtitle,No
settings.privacy.feature,Settings,Privacy settings coming soon!,app/(tabs)/settings.tsx,208,Coming soon feature,Alert,No
settings.avatar.title,Settings,Avatar,app/(tabs)/settings.tsx,212,Avatar settings section,Item Title,No
settings.avatar.subtitle,Settings,Create edit profile photo,app/(tabs)/settings.tsx,213,Avatar description,Item Subtitle,No
settings.language.title,Settings,Language,app/(tabs)/settings.tsx,219,Language settings section,Item Title,No
settings.language.subtitle,Settings,Language: {code},app/(tabs)/settings.tsx,221,Current language display,Item Subtitle,Yes
settings.language.default,Settings,Language preferences,app/(tabs)/settings.tsx,222,Default language description,Item Subtitle,No
settings.notifications.title,Settings,Notifications,app/(tabs)/settings.tsx,228,Notifications settings section,Item Title,No
settings.notifications.subtitle,Settings,Message group & call tones,app/(tabs)/settings.tsx,229,Notifications description,Item Subtitle,No
settings.notifications.feature,Settings,Notification settings coming soon!,app/(tabs)/settings.tsx,232,Coming soon feature,Alert,No
settings.profile.edit.title,Settings,Edit Profile,app/(tabs)/settings.tsx,342,Profile edit dialog,Modal Title,No
settings.profile.logout.title,Settings,Sign Out,app/(tabs)/settings.tsx,53,Logout confirmation title,Dialog Title,No
settings.profile.logout.message,Settings,Are you sure you want to sign out {name}?,app/(tabs)/settings.tsx,54,Logout confirmation message,Dialog Message,Yes
settings.profile.logout.cancel,Settings,Cancel,app/(tabs)/settings.tsx,56,Cancel logout button,Button,No
settings.profile.logout.confirm,Settings,Sign Out,app/(tabs)/settings.tsx,58,Confirm logout button,Button,No
settings.profile.logout.error,Settings,Failed to sign out. Please try again.,app/(tabs)/settings.tsx,65,Logout error message,Alert Message,No
settings.profile.displayName.label,Settings,Display Name,app/(tabs)/settings.tsx,361,Form label,Form Label,No
settings.profile.displayName.placeholder,Settings,Enter your name,app/(tabs)/settings.tsx,366,Form placeholder,Placeholder,No
settings.profile.status.label,Settings,Status,app/(tabs)/settings.tsx,372,Form label,Form Label,No
settings.profile.status.placeholder,Settings,What's on your mind?,app/(tabs)/settings.tsx,377,Form placeholder,Placeholder,No
settings.profile.status.counter,Settings,{count}/140,app/(tabs)/settings.tsx,382,Character limit counter,Counter,Yes
settings.profile.save.saving,Settings,Saving...,app/(tabs)/settings.tsx,397,Save button loading,Button,No
settings.profile.save.button,Settings,Save,app/(tabs)/settings.tsx,397,Save changes button,Button,No
settings.profile.cancel,Settings,Cancel,app/(tabs)/settings.tsx,406,Cancel profile edit button,Button,No
